FIPS,COUNTY,STATE,ST_ABBR,ses_EP_POV,ses_EP_UNEMP,ses_EP_PCI,ses_EP_NOHSDP,ses_EP_UNINSUR,ms_EP_MINRTY,ms_EP_LIMENG,hh_EP_AGE17,hh_EP_DISABL,hh_EP_SNGPNT,hh_EP_MUNIT,hh_EP_MOBILE,hh_EP_CROWD,hh_EP_NOVEH,hh_EP_GROUPQ,hh_EP_PLUMB,pm_EP_AGE65,hc_icu_capita,hc_hosp_beds_capita,hc_pqi,hc_emer_services_capita,hc_epi_capita,hc_health_labs_capita,hc_spend_capita,hc_PHEP_capita,hr_incarcerated_per_100k,hr_all_care_residents_per_100k,hr_high_risk_employees_per_100k,pd_population_density,V3_THEME1,V3_THEME2,V3_THEME3,V3_THEME4,V3_THEME5,V3_THEME6,V3_THEME7,V3_CCVI
1055,Etowah,ALABAMA,AL,17.3,6.5,24065,15.5,10.4,21.9,1.2,21.6,19.6,8.9,3.1,11,1.2,6.3,1.3,0.995735338,18.3,54.29934453,651.6397821,7278,2.051498353,30,0.020394907,14560,1.8466,1364.886,834.474786,6157.044463,192.3081158,0.700095511,0.639605221,0.417701369,0.7669532,0.678127985,0.981852913,0.82266794,0.920725883
1067,Henry,ALABAMA,AL,13.5,6.7,24069,19.8,11.4,31.1,0.3,20.9,18.7,7.1,0.8,25.9,0.8,5.5,1.8,5.518570427,21.6,0,0,4943,2.051498353,30,0.020394907,14560,1.8466,858.4442887,782.5274469,1570.894651,30.48330684,0.701368991,0.472461,0.449856734,0.972938555,0.849411016,0.554600446,0.388411334,0.76281439
1069,Houston,ALABAMA,AL,18.3,7,25990,14.3,10.4,33.1,0.6,23.4,17.8,10.4,5.1,13.7,1.2,6.2,0.9,2.012419503,16.9,63.39570446,701.020437,4927,2.051498353,30,0.020394907,14560,1.8466,1309.989267,583.6016559,5369.326894,179.9578678,0.781598217,0.594078319,0.671760586,0.809933142,0.604902897,0.901305317,0.814071952,0.951926138
1071,Jackson,ALABAMA,AL,20.2,5.9,21608,17.5,9.6,10.7,0.4,21.4,18.8,7.4,1.4,19.6,2.2,4.6,1.3,2.71816332,19.1,19.11095822,319.392778,5861,2.051498353,30,0.020394907,14560,1.8466,675.7016163,568.2036319,6019.887127,48.32526854,0.640241961,0.312639287,0.464501751,0.741801974,0.719516078,0.76313276,0.52849411,0.699140401
1077,Lauderdale,ALABAMA,AL,15.2,5.3,27189,12.6,9.1,15.2,0.6,20,14.7,7.6,5.3,9.1,1.2,7,2.4,2.91731922,19.3,51.84145156,383.8771593,5464,2.051498353,30,0.020394907,14560,1.8466,671.8150888,713.938543,3649.619269,138.5976306,0.52944922,0.446354664,0.474371219,0.607449857,0.598535498,0.70837313,0.775867558,0.690226043
1079,Lawrence,ALABAMA,AL,16.8,5.7,23557,21,8.2,23.5,0.2,21.8,20.5,7.3,0.8,22.5,1.5,5.5,0.7,4.250700913,17.4,18.02451334,290.1124926,7397,2.051498353,30,0.020394907,14560,1.8466,916.4631757,298.4534684,2176.600042,48.02629994,0.614772365,0.372492837,0.443807705,0.827761859,0.853231455,0.325692455,0.525628781,0.630690863
1083,Limestone,ALABAMA,AL,13.7,6.9,27699,15.7,9.6,23.1,1,23,16.3,7.6,3.6,12.6,1.8,3.6,3.1,0.685638138,14.7,10.90572005,110.5535263,5796,2.051498353,30,0.020394907,14560,1.8466,425.5684993,344.9684048,3547.478829,166.1775823,0.710920089,0.618592805,0.41037886,0.597898758,0.967526266,0.287806431,0.805157593,0.76599809
1089,Madison,ALABAMA,AL,13.2,5.8,35526,8.9,8.9,35.1,1.1,22.1,13.1,8.1,10.2,4.4,1.3,4.9,2.5,0.539489876,14.3,28.31152874,332.4176647,5456,2.051498353,30,0.020394907,14560,1.8466,690.2338069,514.5989484,6365.08558,446.0673605,0.53231455,0.722063037,0.249920408,0.444444444,0.811524992,0.750079592,0.909264565,0.771410379
1095,Marshall,ALABAMA,AL,21.7,5.1,23833,19.1,13.1,18.8,4,24.9,15.5,9.2,1.6,14.8,2.6,4.8,1.1,0.939618477,16.8,21.11085309,157.7005162,6183,2.051498353,30,0.020394907,14560,1.8466,611.6979347,696.8311525,14229.85969,168.1468187,0.803565743,0.770773639,0.490608087,0.544094238,0.922317733,0.889843999,0.807067813,0.961158867
1097,Mobile,ALABAMA,AL,19.3,6.2,25215,13.8,11.6,42.8,0.7,23.7,14,10.8,9,7.7,2,6.7,2.2,1.450589521,15.3,37.89268406,439.7409081,6397,2.051498353,30,0.020394907,14560,1.8466,709.7398103,553.7079866,4932.00437,337.2941061,0.750397962,0.684495384,0.76536135,0.657752308,0.829035339,0.726520216,0.88061127,0.969436485
1103,Morgan,ALABAMA,AL,15.3,5.2,25907,16.7,10.2,24,2.1,23,16.8,9.1,5.2,11.1,2.4,5.3,1.6,1.15931566,16.7,28.53378316,227.6213981,6004,2.051498353,30,0.020394907,14560,1.8466,995.6179379,634.6434748,10403.61982,205.599118,0.609041706,0.750397962,0.651066539,0.663801337,0.852913085,0.946195479,0.829035339,0.970391595
1111,Randolph,ALABAMA,AL,17.7,5,23247,21.2,10.5,24.7,0.3,21.8,14.3,8.2,1.6,23.5,2.9,7,2.2,4.518472579,20,0,65.17488594,4126,2.051498353,30,0.020394907,14560,1.8466,908.1243909,770.7982635,3809.692567,38.88387603,0.662846227,0.425978988,0.773638968,0.818210761,0.88156638,0.854504935,0.460681312,0.892072588
1113,Russell,ALABAMA,AL,20.1,7.8,22055,16.7,13.4,53,1,24.7,18.8,11.5,3.2,15.6,3.1,9.8,1,3.037122292,13.4,13.67989056,216.8168575,4936,2.051498353,30,0.020394907,14560,1.8466,1207.634034,386.5116039,4406.232285,90.79433482,0.859280484,0.793696275,0.957020057,0.690862783,0.908946195,0.738618274,0.695319962,0.991085642
1115,St. Clair,ALABAMA,AL,13.2,5.3,24861,15.2,8.8,14,0.5,22.9,16.5,7.2,1.7,23.9,0.9,3,2.5,1.423728037,15.9,6.901549398,45.05722267,6145,2.051498353,30,0.020394907,14560,1.8466,647.1491077,450.1408838,4747.669118,138.2292348,0.444444444,0.396052213,0.324418975,0.678764725,0.975167144,0.608404967,0.775230818,0.709646609
1117,Shelby,ALABAMA,AL,8.4,4,36576,7.8,6.8,21.9,1.6,24,11.2,6,7.6,8,1.1,2.9,1.4,0.790964731,14.3,15.3314712,132.429479,5038,2.051498353,30,0.020394907,14560,1.8466,456.7809487,321.4033825,3700.635707,268.9937862,0.192613817,0.687679083,0.104106972,0.349888571,0.929640242,0.307863738,0.858007004,0.460044572
1121,Talladega,ALABAMA,AL,19.9,8.8,22498,19,9.3,37.1,0.5,21.5,19.3,10.4,2.3,23.6,1.3,7.9,4.2,2.921864333,17.1,17.3078825,350.2088965,5598,2.051498353,30,0.020394907,14560,1.8466,1061.254887,570.9675417,11007.26122,109.3471605,0.820120981,0.58866603,0.891754218,0.775549188,0.789875836,0.936644381,0.738618274,0.988538682
2261,Valdez-Cordova,ALASKA,AK,8.1,6.6,38507,4,15.7,30.4,0.3,23.6,12.2,5.9,6.2,11.3,2.3,7.1,2.7,21.35254274,12.4,0,261.0682041,4873.284982,2.838988779,55.25994794,0.136696991,22129,7.4467,0,193.5275777,0,0.271785106,0.535498249,0.4692773,0.757720471,0.124482649,0.192295447,0.012098058,0.003820439,0.114294811
4021,Pinal,ARIZONA,AZ,14.2,7.8,23653,14.6,8.8,42.9,3.4,23.4,15.2,8.3,2.2,19.1,3.7,4.4,6.3,0.727864462,19.3,5.424905742,61.37786274,3163,3.918223829,48,0.013738685,12904,1.71,704.0391117,192.9853403,1446.198784,78.22098323,0.573702642,0.896211398,0.691499522,0.165234002,0.897803247,0.141674626,0.662527857,0.653931869
5009,Boone,ARKANSAS,AR,14.9,4.4,23998,13,6.8,6,0,22.8,18.8,7.7,2.9,11.7,2.4,5.6,1.4,1.161231495,20.1,64.49532409,460.4636393,3804,2.232332504,35,0.033136678,14816,2.2847,249.4099979,954.7307445,3888.650504,63.2010333,0.287488061,0.063673989,0.527539,0.673034066,0.098057943,0.583572111,0.601719198,0.287488061
5011,Bradley,ARKANSAS,AR,23.2,8,22411,18,11.5,44.3,3,23.7,21.4,10.7,2.4,17.6,3.5,9.3,1.8,2.210449397,18.4,0,294.7218005,6843,2.232332504,35,0.033136678,14816,2.2847,137.0113263,1114.358787,6412.130069,16.8628947,0.886978669,0.894301178,0.965934416,0.907035976,0.667303407,0.697230181,0.251830627,0.965297676
5033,Crawford,ARKANSAS,AR,15.9,5.1,23851,14.8,8.9,15.4,1.2,24.8,20.2,8.8,2.4,12.2,3,3.9,1,1.202138558,16.1,12.87850738,161.6396221,4706,2.232332504,35,0.033136678,14816,2.2847,140.8631067,832.3729031,8589.448073,105.6707479,0.46864056,0.578478192,0.595670169,0.457179242,0.533906399,0.643107291,0.731932506,0.64629099
5037,Cross,ARKANSAS,AR,16.7,5.7,24486,17.2,7.3,27.1,0.1,24,19.9,10.8,1.4,15.7,2.1,7,1.3,2.559124603,18,0,144.0009216,6416,2.232332504,35,0.033136678,14816,2.2847,341.2166137,252.9709378,2153.194493,27.57707,0.551098376,0.35116205,0.82330468,0.849411016,0.730340656,0.090098695,0.360713149,0.566061764
5045,Faulkner,ARKANSAS,AR,16.8,4.7,26163,8.7,9.7,19.7,0.7,23.5,14.6,7.7,9.1,12.1,1.9,4.8,4,1.30946935,11.8,20.61311654,237.1812113,4092,2.232332504,35,0.033136678,14816,2.2847,158.4760162,543.2296432,3839.367403,188.9314002,0.399872652,0.524355301,0.653295129,0.214581344,0.496975486,0.265838905,0.818847501,0.442215855
5047,Franklin,ARKANSAS,AR,21.9,3,20262,17.4,5.8,7.9,0.4,23.5,21,5.2,1.3,15.5,3.1,5.4,1.9,3.048368954,18.9,0,138.2819846,5047,2.232332504,35,0.033136678,14816,2.2847,208.0989876,1006.749156,2384.701912,29.20260595,0.301814709,0.267749124,0.678764725,0.612225406,0.533269659,0.361668259,0.376631646,0.368672397
5051,Garland,ARKANSAS,AR,18.6,7.1,26791,11.6,11.2,17.7,1.2,20.4,20.5,9.8,7.4,13.6,1.8,7.7,2.2,2.41922357,22.8,41.83929628,568.5439408,4748,2.232332504,35,0.033136678,14816,2.2847,203.467079,1042.76878,2892.284528,145.0390099,0.778414518,0.605221267,0.862464183,0.948742439,0.111747851,0.451448583,0.784781917,0.804839223
5053,Grant,ARKANSAS,AR,14.5,7.1,25907,8.5,5,7.3,0.1,22.9,19.7,8.3,3.2,26.4,1.7,2.5,0.9,0.751962844,17.2,0,0,4992,2.232332504,35,0.033136678,14816,2.2847,422.9790999,740.9045671,7580.448966,28.62563731,0.309773957,0.127666348,0.393186883,0.660299268,0.544412607,0.76727157,0.372174467,0.378541866
5063,Independence,ARKANSAS,AR,17.3,4.9,23426,14.2,8.6,11,1.6,23.9,19.7,9.7,2.6,18.4,2.4,4.3,2.9,1.274688708,17.2,32.34762919,595.2697316,5393,2.232332504,35,0.033136678,14816,2.2847,233.4693001,826.5349936,6496.887076,48.77783117,0.458134352,0.555237186,0.804520853,0.549824897,0.279847182,0.658389048,0.53008596,0.59025788
5083,Logan,ARKANSAS,AR,21.1,8.8,22221,14.9,8,9.4,0.8,22.2,21,10.6,1.2,13,2.7,4.7,2.8,3.382819323,19.2,0,183.4041601,5671,2.232332504,35,0.033136678,14816,2.2847,124.0979915,882.4746059,3350.645769,30.72494792,0.711875199,0.41324419,0.810251512,0.716969118,0.534224769,0.391276663,0.391276663,0.632919452
5085,Lonoke,ARKANSAS,AR,12.2,4.2,26222,11.3,7.6,13.9,0.7,26.1,13.8,10,2.3,15,2,4.2,0.9,0.821261391,12.8,0,0,5311,2.232332504,35,0.033136678,14816,2.2847,173.1158076,764.4794061,4030.136,93.66429537,0.249602038,0.455587393,0.40942375,0.384590895,0.802292264,0.429799427,0.70391595,0.461318052
5087,Madison,ARKANSAS,AR,16.8,6.4,23875,20.3,11.4,10.4,1.4,23.7,19.1,6.1,1.4,20.6,2.9,5.4,0.5,4.58447375,18.4,0,0,4488,2.232332504,35,0.033136678,14816,2.2847,74.64543419,765.1157004,2625.031102,19.26991931,0.784463547,0.525628781,0.619866285,0.627188793,0.58866603,0.220630372,0.274116523,0.53040433
5115,Pope,ARKANSAS,AR,18.5,6.2,22110,15.2,9.1,15.6,2.2,22.9,16.7,9.6,3.8,11.3,2.1,5.5,5.4,1.451825781,15.1,17.35782364,261.1848574,5208,2.232332504,35,0.033136678,14816,2.2847,257.6833637,686.6318899,5871.723965,78.32916854,0.584845591,0.671123846,0.777141038,0.285896211,0.536771729,0.563196434,0.662846227,0.670168736
5117,Prairie,ARKANSAS,AR,15.7,6.4,24075,17.8,8.2,15.1,0,20.4,21.2,7.4,0.9,25.1,3.1,6.7,1.7,3.529839884,22.9,0,0,6200,2.232332504,35,0.033136678,14816,2.2847,266.8607472,1115.963125,703.5419699,12.72444674,0.600764088,0.217446673,0.731295766,0.983763133,0.721426297,0.249920408,0.209487424,0.553963706
5121,Randolph,ARKANSAS,AR,18.3,4.2,21338,17.3,8.5,5.5,0.6,22.9,21.6,11.2,0.7,14.1,2.8,5.9,2,3.13014827,19.8,11.41943588,281.5315315,5555,2.232332504,35,0.033136678,14816,2.2847,193.1488951,624.8934841,4328.80759,26.98922157,0.425342248,0.270614454,0.843680357,0.803247373,0.416427889,0.375676536,0.356892709,0.479783508
5125,Saline,ARKANSAS,AR,8.5,3.9,29358,9.6,6.1,14.8,1.1,23.6,16.9,8.8,4.1,15.5,1.9,4,1.1,1.77105136,17.2,13.76320407,147.4459365,4902,2.232332504,35,0.033136678,14816,2.2847,155.0729182,764.3484819,2041.369726,163.0980545,0.139446036,0.552371856,0.547914677,0.550780006,0.499840815,0.179560649,0.801655524,0.41165234
5131,Sebastian,ARKANSAS,AR,20.3,4.9,25084,16.8,10.7,30,3.4,24.2,18.8,10,9.3,4.2,3.5,6.7,1.5,1.56832286,15.2,54.17628492,734.7443273,5046,2.232332504,35,0.033136678,14816,2.2847,378.9394403,888.1147959,7857.305372,239.6357507,0.70455269,0.835084368,0.856096784,0.475326329,0.288124801,0.814390322,0.846545686,0.875835721
5145,White,ARKANSAS,AR,17,5.8,23747,14.6,9,11.8,1,23.6,16.1,8.8,5.5,18.3,1.6,6.1,4.9,0.887010812,15.8,16.51716515,576.0011892,6650,2.232332504,35,0.033136678,14816,2.2847,388.3051622,573.5749454,3560.732958,76.13307262,0.552053486,0.497293855,0.786055396,0.420566699,0.480420248,0.41324419,0.652658389,0.581661891
6007,Butte,CALIFORNIA,CA,20.1,8.7,27537,10.7,7.4,27.6,2.5,20.1,17,7.9,7.5,13,3.2,7.2,2.7,0.58614995,17.7,19.09354505,195.8395923,4626,2.324783896,41,0.065802423,15099,1.0603,664.9785313,853.4625124,2380.711219,138.759082,0.726520216,0.795288125,0.693728112,0.101560013,0.719197708,0.621458134,0.776822668,0.775230818
6017,El Dorado,CALIFORNIA,CA,8.9,6.2,40382,6.9,5.2,21.8,1.7,20.4,13.3,5.5,4.8,5.5,2.2,4.1,1,0.393761953,19.7,15.13390806,89.38249028,3267,2.324783896,41,0.065802423,15099,1.0603,426.441517,454.8352361,1548.797017,109.2964554,0.272843044,0.693728112,0.049028972,0.221585482,0.560012735,0.132441897,0.738299904,0.23782235
6023,Humboldt,CALIFORNIA,CA,20.3,8,26747,9.7,9.7,25.4,1.9,19.3,16.3,9.4,4.2,8.9,3.8,7.6,3,1.182900242,16.7,23.61797919,184.7456905,2858,2.324783896,41,0.065802423,15099,1.0603,564.9342997,659.2127747,2856.343174,38.04973288,0.731295766,0.745940783,0.733524355,0.126711238,0.613498886,0.507481694,0.453677173,0.616045845
6027,Inyo,CALIFORNIA,CA,10.2,5.2,31540,11.2,6.4,37,2.7,20.1,14.1,6.5,3.9,21.8,1.9,6.8,3.6,1.465302737,22.9,21.98406156,157.5230853,4008,2.324783896,41,0.065802423,15099,1.0603,608.238872,912.358308,3002.48825,1.776359643,0.35211716,0.853549825,0.540592168,0.381088825,0.496020376,0.709009869,0.042024833,0.442852595
6061,Placer,CALIFORNIA,CA,8,4.9,41508,5.4,4.7,26.8,1.8,22.6,10.7,6.2,7.2,2.8,2.1,3.8,1.1,0.206537096,18.7,18.66741336,187.3905608,2338,2.324783896,41,0.065802423,15099,1.0603,382.2909568,838.7774056,1833.312723,270.1173042,0.136899077,0.743393824,0.049984082,0.100604903,0.444126074,0.336517033,0.858325374,0.238459089
6079,San Luis Obispo,CALIFORNIA,CA,13.3,4.6,35832,9.1,7.5,30.9,3.4,17.9,11.5,6.6,6.1,8,3.3,4.3,5.8,0.224902738,18.7,16.42159225,174.0411237,2295,2.324783896,41,0.065802423,15099,1.0603,437.0147981,701.0001599,3237.107175,85.27295534,0.41006049,0.840496657,0.215218083,0.075453677,0.602992677,0.502069405,0.681311684,0.425342248
6089,Shasta,CALIFORNIA,CA,17.1,6.2,27983,9.2,7.5,19.8,1.2,21.6,17.8,8.6,4.5,11.9,3.3,6.8,1.8,0.697992573,19.9,45.27188281,318.7036824,3421,2.324783896,41,0.065802423,15099,1.0603,814.1385376,937.5436245,1932.043443,47.43478193,0.512575613,0.620184655,0.686405603,0.273798153,0.29703916,0.668895256,0.521808341,0.513212353
6093,Siskiyou,CALIFORNIA,CA,19.4,7.9,28130,10,7,23.3,1.5,20.2,19.4,7.4,3.3,12.6,3.2,7,1.2,1.568672485,24,9.189065013,134.6489195,3232,2.324783896,41,0.065802423,15099,1.0603,728.0661461,537.4368397,3029.398254,6.934484777,0.669850366,0.692773002,0.577841452,0.453995543,0.534861509,0.543139128,0.142311366,0.522126711
8019,Clear Creek,COLORADO,CO,5.5,1.9,40655,1.7,9,10.8,1,15.7,9.7,6.3,5.1,6.4,1.5,2.5,1.3,2.569570317,18.9,0,0,2308,2.868911248,129,0.034729843,13609,1.8004,884.9557522,0,2377.652202,23.73233189,0.107290672,0.483603948,0.045208532,0.147723655,0.251830627,0.243234639,0.326010825,0.049665712
8039,Elbert,COLORADO,CO,4.4,2.7,43349,3.3,5.8,11.1,0.1,21.9,10,3.8,0.6,4.1,1.4,2,0.3,0.532549082,14.7,0,0,2948,2.868911248,129,0.034729843,13609,1.8004,151.0213814,242.4290597,1708.926158,13.59494107,0.044890162,0.202483286,0,0.020694046,0.339700732,0.043298313,0.219675263,0.003183699
8047,Gilpin,COLORADO,CO,4.1,2.4,48460,2.4,4.6,13.5,0.2,16.2,8.7,1.9,5.6,2.3,0.8,4.7,1.8,4.709655638,14.5,0,0,2461,2.868911248,129,0.034729843,13609,1.8004,1485.482782,0,742.741391,39.52073675,0.021967526,0.276345113,0.044253422,0.052531041,0.356892709,0.17860554,0.465138491,0.029608405
8051,Gunnison,COLORADO,CO,13.2,5.8,30127,2.8,10.8,12.8,0.4,17.7,7.8,7.7,9.4,5.7,2,3,5.4,3.864062406,12.4,0,142.0959147,2527,2.868911248,129,0.034729843,13609,1.8004,310.4553426,344.681623,2182.983613,5.10536714,0.41197071,0.342566062,0.317414836,0.004457179,0.604584527,0.101560013,0.11779688,0.085323145
8057,Jackson,COLORADO,CO,15.7,2.2,25467,12.4,10.6,20,1.7,19.1,6.7,2.4,0,16,0.7,1.6,0.8,16.51234568,22.2,0,0,2667,2.868911248,129,0.034729843,13609,1.8004,308.6419753,0,462.962963,0.803110819,0.361668259,0.677172875,0.008277619,0.210124164,0.272524674,0.028334925,0.014326648,0.044253422
8065,Lake,COLORADO,CO,16.5,5.5,28062,14.5,14.7,34.1,4.1,16.7,11.9,7.4,6.4,13.8,2.5,4.1,1.9,1.674357284,11.7,0,303.140536,2290,2.868911248,129,0.034729843,13609,1.8004,290.0461437,0,435.0692156,20.1236924,0.819484241,0.868194842,0.299586119,0.015281757,0.436166826,0.025469596,0.286214581,0.261063356
8067,La Plata,COLORADO,CO,8.7,4.1,37864,5,9.1,21.3,0.5,19.2,8.9,4.9,8.3,13.3,2.4,2.6,3.4,0.807607847,15.7,20.19497329,162.4891962,2074,2.868911248,129,0.034729843,13609,1.8004,422.188345,382.9331591,2254.042576,32.60831159,0.225087552,0.479783508,0.170009551,0.031836995,0.306590258,0.152499204,0.408468641,0.069723018
8071,Las Animas,COLORADO,CO,18.2,7.7,25118,12.2,9.3,47.3,1.7,18,21.6,7.2,2.4,10.8,2,9.5,5.8,3.110233444,22.9,0,159.3777891,4907,2.868911248,129,0.034729843,13609,1.8004,536.0039495,761.689823,1135.482051,2.970708174,0.699458771,0.848137536,0.755491882,0.198981216,0.444126074,0.319325056,0.073543457,0.429481057
8075,Logan,COLORADO,CO,15,4.1,25776,10.5,9.1,22.2,3.1,21.4,13.8,7.3,7.7,9.4,2.8,8.5,4.8,0.562497118,16.8,18.27735892,110.2681722,3276,2.868911248,129,0.034729843,13609,1.8004,917.1469408,1009.728434,2328.369219,11.7964907,0.331104744,0.775230818,0.626870423,0.040432983,0.41451767,0.787965616,0.198662846,0.378541866
8077,Mesa,COLORADO,CO,15.7,7.8,28518,9.9,10.1,18.5,1.1,22,14.6,9.1,5.4,10.3,2.3,4.7,2.3,0.473339645,17.9,29.57028992,269.7709504,3051,2.868911248,129,0.034729843,13609,1.8004,889.3451913,1066.014214,2494.033254,45.0588882,0.692454632,0.598217128,0.455269023,0.048073862,0.170009551,0.816300541,0.502069405,0.4141993
8083,Montezuma,COLORADO,CO,16.1,5.1,25161,10.5,12.9,27.3,0.6,22.4,17.3,7.4,1.9,18.9,3,2.4,1,1.119302173,20.7,15.52192472,90.70459328,2381,2.868911248,129,0.034729843,13609,1.8004,687.0199545,984.2139797,2987.378903,12.76728162,0.5307227,0.553645336,0.334925183,0.169691181,0.299904489,0.773002229,0.210760904,0.300859599
8085,Montrose,COLORADO,CO,16.7,7,25803,11.2,10.9,23.9,3.7,22,16.9,5.7,3.8,17.4,2.7,5.6,1.3,0.792381506,22.4,19.55607705,173.0662728,2623,2.868911248,129,0.034729843,13609,1.8004,401.8367743,930.5030532,3644.470292,18.41544441,0.672715696,0.804839223,0.419611589,0.082139446,0.143584846,0.657752308,0.265520535,0.347659981
8093,Park,COLORADO,CO,5.5,5.4,35939,3,7.3,10.8,0.1,17.3,11.6,2.3,0,4,0.9,1.9,0.7,5.036798528,19.1,0,0,2489,2.868911248,129,0.034729843,13609,1.8004,764.7194112,0,2593.146274,7.92742934,0.202164916,0.196434257,0.00127348,0.163005412,0.272206304,0.226679401,0.155046164,0.017828717
